scenario_name,experiment_id,tier,model,seed,n_total_level,n_steps,arrivals_per_step,n_effective,brier,log_score,mae_prob,abs_error_outcome,calibration_ece,posterior_mean_bias,posterior_variance_ratio,posterior_variance,log_variance,coverage_90_ptrue,coverage_95_ptrue,p_hat,rate_var_vs_n,rate_bias_vs_n,r2_var,r2_bias
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,757426227,100,20,5,100.0,0.029402162629757818,-0.9714615030081262,0.1714705882352942,0.6214705882352942,0.12533984489318117,-0.1714705882352942,,nan,nan,nan,nan,0.37852941176470584,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,833147946,100,20,5,100.0,0.012822231833910043,-0.5740578089895064,0.1132352941176471,0.43676470588235294,0.12533984489318117,-0.1132352941176471,,nan,nan,nan,nan,0.43676470588235294,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,996438087,100,20,5,100.0,0.005066089965397922,-0.4761400657781006,0.07117647058823529,0.37882352941176467,0.12533984489318117,0.07117647058823529,,nan,nan,nan,nan,0.6211764705882353,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,1306581510,100,20,5,100.0,0.005537110726643605,-0.6454780927411123,0.0744117647058824,0.47558823529411764,0.12533984489318117,-0.0744117647058824,,nan,nan,nan,nan,0.47558823529411764,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,1350249099,100,20,5,100.0,0.015114532871972328,-0.8508335152195113,0.12294117647058828,0.5729411764705883,0.12533984489318117,-0.12294117647058828,,nan,nan,nan,nan,0.42705882352941177,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,1483242993,100,20,5,100.0,0.01759524221453288,-0.5401736639057019,0.13264705882352945,0.4173529411764706,0.12533984489318117,-0.13264705882352945,,nan,nan,nan,nan,0.4173529411764706,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,1501446711,100,20,5,100.0,0.003778633217993072,-0.9453864060819274,0.061470588235294055,0.6114705882352941,0.12533984489318117,0.061470588235294055,,nan,nan,nan,nan,0.6114705882352941,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,1774090523,100,20,5,100.0,0.04840000000000004,-0.40047756659712525,0.22000000000000008,0.32999999999999996,0.12533984489318117,-0.22000000000000008,,nan,nan,nan,nan,0.32999999999999996,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,1932065422,100,20,5,100.0,0.02026435986159172,-0.5236526373257451,0.14235294117647068,0.40764705882352936,0.12533984489318117,-0.14235294117647068,,nan,nan,nan,nan,0.40764705882352936,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,1951270010,100,20,5,100.0,0.005066089965397922,-0.9706848039399539,0.07117647058823529,0.6211764705882353,0.12533984489318117,0.07117647058823529,,nan,nan,nan,nan,0.6211764705882353,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,2026264742,100,20,5,100.0,0.0231218858131488,-0.5074001249429633,0.1520588235294118,0.39794117647058824,0.12533984489318117,-0.1520588235294118,,nan,nan,nan,nan,0.39794117647058824,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,2113453261,100,20,5,100.0,0.0017689446366781956,-0.5241492849644613,0.042058823529411704,0.40794117647058825,0.12533984489318117,0.042058823529411704,,nan,nan,nan,nan,0.5920588235294117,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,2218138053,100,20,5,100.0,0.016747404844290652,-1.1375977353810636,0.12941176470588234,0.6794117647058824,0.12533984489318117,0.12941176470588234,,nan,nan,nan,nan,0.6794117647058824,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,2441110842,100,20,5,100.0,0.003778633217993072,-0.49188842274623984,0.061470588235294055,0.3885294117647059,0.12533984489318117,0.061470588235294055,,nan,nan,nan,nan,0.6114705882352941,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,2513743671,100,20,5,100.0,0.01071833910034603,-0.8063817526486775,0.10352941176470593,0.5535294117647058,0.12533984489318117,-0.10352941176470593,,nan,nan,nan,nan,0.4464705882352941,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,2586439795,100,20,5,100.0,0.03643607266435987,-0.4449093756596329,0.1908823529411765,0.35911764705882354,0.12533984489318117,-0.1908823529411765,,nan,nan,nan,nan,0.35911764705882354,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,2606744768,100,20,5,100.0,0.012822231833910043,-0.5740578089895064,0.1132352941176471,0.43676470588235294,0.12533984489318117,-0.1132352941176471,,nan,nan,nan,nan,0.43676470588235294,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,3105424157,100,20,5,100.0,0.02026435986159172,-0.8973535308544044,0.14235294117647068,0.5923529411764706,0.12533984489318117,-0.14235294117647068,,nan,nan,nan,nan,0.40764705882352936,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,3356284210,100,20,5,100.0,0.008206228373702421,-1.0232865708727121,0.09058823529411764,0.6405882352941177,0.12533984489318117,0.09058823529411764,,nan,nan,nan,nan,0.6405882352941177,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,3593457797,100,20,5,100.0,0.00707577854671281,-0.7638221382298815,0.08411764705882357,0.5341176470588236,0.12533984489318117,-0.08411764705882357,,nan,nan,nan,nan,0.46588235294117647,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,3684617003,100,20,5,100.0,0.005066089965397922,-0.4761400657781006,0.07117647058823529,0.37882352941176467,0.12533984489318117,0.07117647058823529,,nan,nan,nan,nan,0.6211764705882353,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,3700448254,100,20,5,100.0,0.003778633217993072,-0.9453864060819274,0.061470588235294055,0.6114705882352941,0.12533984489318117,0.061470588235294055,,nan,nan,nan,nan,0.6114705882352941,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,3991227457,100,20,5,100.0,0.01071833910034603,-0.8063817526486775,0.10352941176470593,0.5535294117647058,0.12533984489318117,-0.10352941176470593,,nan,nan,nan,nan,0.4464705882352941,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,4067975586,100,20,5,100.0,0.0328249134948097,-0.9974369894113867,0.18117647058823533,0.6311764705882352,0.12533984489318117,-0.18117647058823533,,nan,nan,nan,nan,0.3688235294117647,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,4126559305,100,20,5,100.0,1.04671280276813e-05,-0.8057232080084799,0.003235294117647003,0.553235294117647,0.12533984489318117,0.003235294117647003,,nan,nan,nan,nan,0.553235294117647,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,uncorrected,91114708,100,20,5,100.0,1.4641811349460069e-05,-0.5909038868145922,0.003826461988503227,0.44617353801149673,0.12802044521272862,0.003826461988503227,1.0,0.0021637715585796865,-6.13590248799735,1.0,1.0,0.5538264619885033,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,uncorrected,415597801,100,20,5,100.0,0.01897474716847515,-0.5314555389629064,0.13774885541620718,0.41225114458379286,0.12802044521272862,-0.13774885541620718,1.0,0.002121717498889191,-6.155529377299825,0.0,0.0,0.41225114458379286,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,uncorrected,483915498,100,20,5,100.0,0.010375644925061317,-0.5944592396359488,0.10186090970073514,0.4481390902992649,0.12802044521272862,-0.10186090970073514,1.0,0.002165590595840737,-6.135062162192665,0.0,0.0,0.4481390902992649,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,uncorrected,564034805,100,20,5,100.0,0.0189480712109407,-0.8858876092872667,0.1376519931237492,0.5876519931237492,0.12802044521272862,-0.1376519931237492,1.0,0.0021218662705904923,-6.155459261233102,0.0,0.0,0.41234800687625084,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,uncorrected,683784317,100,20,5,100.0,0.004340493625671432,-0.9568065824716802,0.06588242273680767,0.6158824227368077,0.12802044521272862,0.06588242273680767,1.0,0.0020715522250494556,-6.179457085541127,1.0,1.0,0.6158824227368077,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,uncorrected,757426227,100,20,5,100.0,0.024136595050336922,-0.9297802247887629,0.1553595669739618,0.6053595669739618,0.12802044521272862,-0.1553595669739618,1.0,0.0020919383681879096,-6.169664193926672,0.0,0.0,0.39464043302603824,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,uncorrected,833147946,100,20,5,100.0,0.01036363837579923,-0.594566071282208,0.10180195664032804,0.448198043359672,0.12802044521272862,-0.10180195664032804,1.0,0.0021656441093540592,-6.135037451680782,0.0,0.0,0.448198043359672,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,uncorrected,996438087,100,20,5,100.0,0.004298365229935507,-0.48521973881843916,0.06556191905317832,0.38443808094682164,0.12802044521272862,0.06556191905317832,1.0,0.0020722017763988325,-6.1791435768943925,1.0,1.0,0.6155619190531784,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,uncorrected,1306581510,100,20,5,100.0,0.0044546881787827595,-0.6602087549929344,0.06674345045607666,0.4832565495439234,0.12802044521272862,-0.06674345045607666,1.0,0.0021866870128443515,-6.125367660083108,1.0,1.0,0.4832565495439234,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,uncorrected,1350249099,100,20,5,100.0,0.012267324317349147,-0.8227046596327887,0.11075795374305697,0.5607579537430569,0.12802044521272862,-0.11075795374305697,1.0,0.002156816734299094,-6.1391218784210935,0.0,0.0,0.4392420462569431,nan,nan,nan,nan
